ID,Título,Descripción,Fase,Responsable,Estimación,Estado,Criterio Salida,Commit Relacionado
T-014,Crear README.md para HU-005,"Documentar: descripción HU, objetivos, estructura archivos, guía uso rápida, configuración credenciales, casos prueba, troubleshooting. Usar hu001/README.md como template",FASE 4: Documentación Final,Developer,5,Nueva,README completo siguiendo template HU-001,N/A
T-015,Documentar resumen final HU-005,"Crear HU-05_RESUMEN_FINAL.md: entregables completados, cumplimiento CA, métricas calidad, estado final (100%), próximos pasos. Incluir tabla métricas y checklist sprint",FASE 4: Documentación Final,Developer + Tester,3,Nueva,Resumen ejecutivo con tabla métricas,N/A
T-016,Exportar workflow JSON final,"Exportar desde n8n el workflow completo HU-005.json probado y funcional. Guardar en hu005/workflows/. Verificar que incluye todas configuraciones excepto credenciales sensibles",FASE 4: Documentación Final,Developer,1,Nueva,JSON en hu005/workflows/ sin credenciales sensibles,N/A
T-017,Validar integración con HU-001 y HU-004,"Probar flujo end-to-end: HU-001 recibe solicitud→HU-004 valida PDF→HU-005 notifica error. Validar datos se pasan correctamente. Documentar puntos integración",FASE 4: Documentación Final,Developer + Tester,5,Nueva,Flujo completo funciona sin errores,N/A
T-018,Commit inicial estructura HU-005,"Git commit con mensaje: 'feat(hu005): crear estructura carpetas y documentación inicial'. Incluir: carpetas vacías, README básico, .gitkeep. Push a rama feature/hu005-notificacion-correccion",FASE 5: Control Versiones GitHub,Developer,1,Nueva,Commit realizado en rama feature/hu005,feat(hu005): crear estructura carpetas y documentación inicial
T-019,Commit implementación workflow HU-005,"Git commit: 'feat(hu005): implementar workflow notificación corrección documentación'. Incluir: HU-005.json, templates emails, configuración nodos. Descripción cambios en commit body",FASE 5: Control Versiones GitHub,Developer,1,Nueva,Commit con workflow completo,feat(hu005): implementar workflow notificación corrección
T-020,Commit documentación técnica completa,"Git commit: 'docs(hu005): agregar ficha técnica, casos prueba y resultados'. Incluir: HU-05_FICHA_TECNICA.md, HU-05_CASOS_PRUEBA.md, HU-05_RESULTADOS_PRUEBAS.md, evidencias visuales",FASE 5: Control Versiones GitHub,Developer + Tester,1,Nueva,Commit con toda documentación,docs(hu005): agregar ficha técnica y casos prueba
T-021,Commit scripts de pruebas automatizadas,"Git commit: 'test(hu005): agregar script pruebas automatizadas test_hu05.sh'. Incluir script con permisos ejecución, datos prueba, validaciones. Documentar uso en README",FASE 5: Control Versiones GitHub,Tester,1,Nueva,Commit con scripts ejecutables,test(hu005): agregar script pruebas automatizadas
T-022,Crear tareas en Taiga para HU-005,"En Taiga crear HU-005 con: título, descripción, CA, estimación Planning Poker, estado Nueva. Agregar tareas T-001 a T-030. Asignar responsables (developer+tester), vincular sprint",FASE 6: Gestión en Taiga,Scrum Master,2,Nueva,HU y todas tareas creadas en Taiga,N/A
T-023,Subir documentación a Wiki Taiga,"En Wiki Sprint crear página HU-005 con links a: ficha técnica, casos prueba, resultados, workflow JSON, evidencias. Adjuntar PDFs exportados de markdowns",FASE 6: Gestión en Taiga,Scrum Master,2,Nueva,Todos documentos accesibles desde Wiki,N/A
T-024,Actualizar tablero Taiga HU-005,"Mover tareas en Taiga según progreso: Nueva→En curso→En revisión→Hecha. Actualizar horas trabajadas por tarea. Vincular commits de GitHub a tareas correspondientes",FASE 6: Gestión en Taiga,Scrum Master + Developer,1,Nueva,Tablero refleja estado real (actualización continua),N/A
T-025,Validar CVEs dependencias emails,"Si hay librerías adicionales para emails, validar con herramientas seguridad que no tengan CVEs conocidos. Documentar versiones usadas y fecha verificación",FASE 7: Calidad y Validaciones,Developer,2,Nueva,Reporte seguridad sin CVEs críticos,N/A
T-026,Realizar Planning Poker HU-005,"Estimar esfuerzo HU-005 con equipo usando valores Fibonacci (1,2,3,5,8,13). Documentar: participantes, estimaciones individuales, consenso final, justificación. Agregar a doc Planning",FASE 7: Calidad y Validaciones,Todo el equipo,1,Nueva,Estimación consensuada documentada,N/A
T-027,Documentar Definition of Done HU-005,"Verificar checklist DoD: (1)Workflow funcional, (2)3+ casos por CA, (3)Logs registrados, (4)Documentación completa, (5)Evidencias capturadas, (6)Integración probada, (7)Commits realizados, (8)Taiga actualizado",FASE 7: Calidad y Validaciones,Scrum Master + Tester,2,Nueva,Checklist 100% completado,N/A
T-028,Preparar demo HU-005 para Review,"Crear video/presentación demo 7 min: (0:00)Intro, (0:30)Objetivo, (1:00)CA1-rechazo detectado, (2:00)CA2-email generado, (3:00)CA3-email enviado, (4:00)Logs, (5:00)Flujo integrado, (6:00)Próximos pasos",FASE 8: Entrega y Demo,Developer + Tester,5,Nueva,Video max 7 min con todos elementos,N/A
T-029,Ejecutar pruebas de integración completas,"Probar escenarios integrados: (1)Solicitud válida→Sin notificación, (2)PDF inválido→Email error, (3)Tamaño excedido→Email específico, (4)Múltiples errores→Email consolidado. Documentar en resultados",FASE 8: Entrega y Demo,Tester,5,Nueva,Todos escenarios documentados en resultados,N/A
T-030,Commit final y push a GitHub,"Git commit: 'feat(hu005): completar HU-005 notificación corrección documentación'. Incluir resumen final, todas evidencias, documentación 100%. Push rama feature/hu005. Crear Pull Request con descripción completa",FASE 8: Entrega y Demo,Developer,2,Nueva,PR creado para revisión equipo,feat(hu005): completar HU-005 notificación corrección
